data,t,greenwald_density,greenwald_fraction
1.855619869879109e+19,0.295,5.957173394829668e+19,0.31149334539928497
1.8559422671748702e+19,0.3,5.931751002217647e+19,0.3128826996414729
1.8838418020775895e+19,0.305,5.874002844853939e+19,0.32070835711766366
1.886439675100828e+19,0.31,5.807628878078574e+19,0.3248209750835435
1.8757445312510165e+19,0.315,5.776156754801288e+19,0.3247392013196058
1.9181226519313e+19,0.32,5.7406957460301726e+19,0.33412720979991445
1.871622386557448e+19,0.325,5.7297202760435745e+19,0.32665161585336955
1.8791626123875344e+19,0.33,5.681606312405208e+19,0.330744952934274
1.8528922999938863e+19,0.335,5.710065235582541e+19,0.32449581984589254
1.8298019075012362e+19,0.34,5.64895914010675e+19,0.32391841790993336
1.8110261773838e+19,0.345,5.655375592376261e+19,0.320230928574427
1.8252027385300552e+19,0.35,5.711759419312837e+19,0.31955175359077703
1.8014923095420533e+19,0.355,5.717239137545851e+19,0.31509829590849536
1.8365296120056293e+19,0.36,5.719039415543115e+19,0.3211255384976607
1.8315108475509019e+19,0.365,5.713958039753264e+19,0.320532778646374
1.8214598878387556e+19,0.37,5.735700590909858e+19,0.3175653713036329
1.831404236655591e+19,0.375,5.762943477972972e+19,0.317789727359908
1.8054680520034333e+19,0.38,5.7521620418541e+19,0.31387642400655924
1.8682773585426522e+19,0.385,5.770286043465016e+19,0.3237755190071591
1.866401048635444e+19,0.39,5.793249464307945e+19,0.3221682511920626
1.8308898361577083e+19,0.395,5.760256189018052e+19,0.3178486817388966
1.8548454499023303e+19,0.4,5.867568907767239e+19,0.3161182218835069
1.878087416956822e+19,0.405,5.903085236115929e+19,0.318153531896577
1.854058718023028e+19,0.41,5.880890282949314e+19,0.31526837414371933
1.88921272726387e+19,0.415,5.874004950855802e+19,0.32162259703043405
1.922370362007958e+19,0.42,5.9078164891075576e+19,0.32539439326734293
1.920458243746443e+19,0.425,5.9087835873687994e+19,0.3250175294711765
1.8933271360119116e+19,0.43,5.888455633796644e+19,0.32153203721960777
1.905433718135066e+19,0.435,5.920469186942453e+19,0.3218382965893116
1.8884047880577647e+19,0.44,5.968529743901368e+19,0.31639362943400473
1.876686104791313e+19,0.445,5.943851287968473e+19,0.31573570970560716
1.892613966848099e+19,0.45,5.941729600282108e+19,0.3185291311065787
1.93315710285404e+19,0.455,5.9585188112206094e+19,0.3244358479180551
1.8900528841477386e+19,0.46,5.992442097231438e+19,0.3154061154835288
1.9113481196260995e+19,0.465,5.982879276529663e+19,0.31946961175101074
1.920530861215111e+19,0.47,5.9966988788735664e+19,0.32026468228731003
1.9103728134364324e+19,0.475,6.049415698507654e+19,0.3157946004450822
1.9083477709528568e+19,0.48,6.072035606877402e+19,0.3142846805429459
1.906883648531053e+19,0.485,6.04264563972524e+19,0.31557098698538927
1.9288691702549123e+19,0.49,6.069592153360044e+19,0.3177922208804617
1.9436376635663516e+19,0.495,6.05563750696118e+19,0.3209633438811468
1.9187259979546935e+19,0.5,6.040669618399992e+19,0.3176346529712895
1.890785884272878e+19,0.505,6.005971716416838e+19,0.31481764709356985
1.891915127732927e+19,0.51,6.0068937459130065e+19,0.3149573153379241
1.9056622689738207e+19,0.515,6.014770218361947e+19,0.3168304357091144
1.9441615567306093e+19,0.52,5.98278426122227e+19,0.32495932860755056
1.9150918934279176e+19,0.525,5.979522246247427e+19,0.32027506790024457
1.9291846645442286e+19,0.53,5.937408683081042e+19,0.3249203090973915
1.9177383627489415e+19,0.535,5.9264762372516364e+19,0.32358829867480915
1.9379297404475273e+19,0.54,5.9149199522515214e+19,0.3276341448559844
2.0061982027043353e+19,0.545,5.902638434901731e+19,0.33988160122461153
2.0239558552048644e+19,0.55,5.8880683897790734e+19,0.34373851002107764
2.0208479250897494e+19,0.555,5.904553575793043e+19,0.3422524495966367
2.0751336426518643e+19,0.56,5.8879626060214936e+19,0.3524366205263718
2.101712085709278e+19,0.565,5.910666133990245e+19,0.3555795638029767
2.113372146880719e+19,0.57,5.854710775121194e+19,0.36096952147682676
2.145993244866964e+19,0.575,5.869220298435183e+19,0.36563515011340025
2.1606380872522543e+19,0.58,5.888819469113084e+19,0.3669051324437474
2.1546545078500327e+19,0.585,5.879546227552472e+19,0.36646612246247595
2.194068247699696e+19,0.59,5.863907693018799e+19,0.37416486796199333
2.2230975028491633e+19,0.595,5.866214758390944e+19,0.37896626605244527
2.2480154471825916e+19,0.6,5.870393148338661e+19,0.3829412086001066
2.281476518855021e+19,0.605,5.897543999114818e+19,0.3868519707860518
2.313855974879886e+19,0.61,5.878338645083128e+19,0.39362413678145025
2.348597669176064e+19,0.615,5.904685501134594e+19,0.39775152609309633
2.367679229601671e+19,0.62,5.861839714162983e+19,0.40391401762164253
2.3861159573079933e+19,0.625,5.9339005861608825e+19,0.4021159307712237
2.4572434617815618e+19,0.63,5.87935948307319e+19,0.41794407517621973
2.4271219121340748e+19,0.635,5.9165542499176554e+19,0.4102255822580947
2.4911782993160663e+19,0.64,5.950381356526861e+19,0.41865859514761017
2.518111072827294e+19,0.645,5.907675673422695e+19,0.42624395989707253
2.49304459275642e+19,0.65,5.978055469008755e+19,0.4170326966152761
2.461615057479219e+19,0.655,5.9965651866017776e+19,0.41050417712113685
2.5351347434651767e+19,0.66,5.966414843267753e+19,0.4249008508561409
2.5195114129069887e+19,0.665,6.018567262823272e+19,0.41862312123186307
2.5963918236612882e+19,0.67,6.0048842701147775e+19,0.43237999382986625
2.5460598881721225e+19,0.675,6.02876359081124e+19,0.4223187474215622
2.5940102377154335e+19,0.68,6.026761969598041e+19,0.43041524632977046
2.606273079697993e+19,0.685,6.063058349325572e+19,0.42986112445840197
2.5692581422684783e+19,0.69,6.0600105284508934e+19,0.42396925388267465
2.5792915703023735e+19,0.695,6.124174535324804e+19,0.42116558818250227
2.66321194015882e+19,0.7,6.126554912219864e+19,0.4346997583987777
2.613563122520832e+19,0.705,6.1597794250807026e+19,0.42429492067186975
2.638869412979228e+19,0.71,6.209876048403668e+19,0.42494719579106327
2.6686882182939636e+19,0.715,6.223015105602218e+19,0.4288416744949725
2.9056894440632947e+19,0.72,6.298411122468528e+19,0.4613368971259646
2.7479212370149614e+19,0.725,6.449268338195416e+19,0.4260826333958781
2.78761269276922e+19,0.73,6.441235847547264e+19,0.4327760632815061
2.60023615898931e+19,0.735,6.53361490958203e+19,0.39797817823267656
2.5986181804730528e+19,0.74,6.505023620900462e+19,0.39947866939695104
2.541755463478977e+19,0.745,6.518565523473469e+19,0.38992558321705456
2.4651320032942682e+19,0.75,6.483535347954216e+19,0.3802141688133318
2.274674772306318e+19,0.755,6.697105603462668e+19,0.33965042616771957
1.7080738597704038e+19,0.76,1.1481600919335594e+20,0.14876617570759854
inf,0.765,inf,
