t,pohm,pss,psw,pdw_dt,prad_core,psol
0.305,2105468.683937052,959200.0000000066,479600.0000000033,-5544897.13680038,300717.05373974994,8788448.766997691
0.31,2052903.0718630566,1004800.0000000157,502400.00000000786,-2824115.8184998645,283973.1954970486,6100245.694865896
0.315,1123540.060310924,979200.0000000068,489600.0000000034,110487.3298923903,267215.3671990467,2214637.363219497
0.32,921637.1733572135,1017600.0000000121,508800.00000000605,-3803.251760515557,250789.27280840228,2201051.152309345
0.325,797942.3012552676,963200.0000000058,481600.0000000029,-115492.52459556513,235082.97978434272,2123151.8460664987
0.33,726555.2941666922,1010400.0000000147,505200.00000000733,-107850.95679927537,220366.3327899731,2129639.9181760163
0.335,584694.8792331063,984000.0000000066,492000.0000000033,131616.1422068078,206942.36465237563,1722136.3723739327
0.34,479634.14089029504,1022400.0000000129,511200.00000000646,246445.98816871198,194951.35213069827,1571836.8005909042
0.345,627754.0983049084,964800.0000000147,482400.00000000733,152622.55855237748,184584.63840704184,1737746.901345511
0.35,718562.757569901,1010400.0000000306,505200.0000000153,16358.180708941665,175879.86646863827,2041924.710392367
0.355,686381.0644855617,988000.0000000113,494000.00000000565,46617.51100952968,168880.03214205915,1952883.5213339897
0.36,744789.5587855229,1025600.0000000006,512800.0000000003,98898.8428431985,163458.38893859513,2020832.32700373
0.365,682006.2662128496,968000.0000000005,484000.00000000023,288128.21654114,159590.31834068842,1686287.731331022
0.37,680495.5966072462,1013600.0000000005,506800.00000000023,306465.66059130913,157042.39209052062,1737387.5439254171
0.375,789748.034170475,990400.0000000005,495200.00000000023,50333.509742498434,155718.0312495195,2069296.4931784577
0.38,812695.4536459171,1026400.0000000005,513200.00000000023,33483.16147128644,155408.99946066752,2163403.292713964
0.385,858364.5733103693,967200.0000000006,483600.0000000003,131530.24571257696,155924.92423793217,2021709.4033598609
0.39,898943.0690324351,1011200.0000000006,505600.0000000003,129221.93126653795,157104.61466477936,2129416.523101119
0.395,798962.579515251,992800.0000000006,496400.0000000003,117425.92835613026,158811.49640381418,2011925.1547553074
0.4,787739.8214533061,1029600.0000000006,514800.0000000003,39278.061122463245,160899.27916484667,2131962.481165997
0.405,849740.2043365247,972800.0000000005,486400.00000000023,1052.0724745882299,163247.35878256327,2144640.773079374
0.41,782900.4092110288,1018400.0000000173,509200.0000000087,150433.93560657644,165716.83011397492,1994349.6434905035
0.415,706936.2606337036,992800.0000000094,496400.0000000047,253225.7407871721,168289.20723536197,1774621.3126111836
0.42,749172.6404879243,1028000.0000000156,514000.0000000078,75375.96794046473,170912.66192044114,2044884.010627042
0.425,789148.0971996234,981599.9999999997,490799.9999999998,-1280.0032723447566,173474.91586114062,2089353.184610827
0.43,790850.0309589676,1022400.0000000164,511200.0000000082,-886.0676011019774,175962.65193053475,2149373.4466295596
0.435,788451.4152277823,992800.0000000104,496400.0000000052,-90620.67707935486,178356.6864655803,2189915.405841572
0.44,709595.1131728763,1032800.0000000163,516400.00000000815,26388.706106915164,180635.56335146015,2051770.8437145255
0.445,764339.9458302986,987999.9999999899,493999.99999999494,-77579.79732124224,182726.2219781734,2141193.5211733524
0.45,958675.5865571669,1027200.0000000033,513600.00000000163,-718105.0252677591,184644.2087157332,3032936.4031091975
0.455,886217.9609983799,994400.0000000113,497200.00000000565,-424729.18036134343,186325.65256063774,2616221.488799102
0.46,730992.8187001961,1028800.000000021,514400.0000000105,135695.1845561742,187741.49928986153,1950756.1348541917
0.465,711182.8759339157,992799.9999999873,496399.99999999366,2460.6611333140195,188878.26446331962,2009043.950337263
0.47,616615.1639786003,1031200.0000000146,515600.0000000073,38844.613417155255,189628.18774478397,1934942.3628166828
0.475,537854.1823475616,1002400.0000000112,501200.0000000056,131691.5699616423,190065.50050376198,1719697.1118821742
0.48,607152.0053708341,1029600.0000000397,514800.00000001985,41505.3181789779,190154.01433942944,1919892.6728524864
0.485,545585.9411797095,999199.9999999793,499599.99999998964,33123.42393366997,189905.43852770602,1821357.0787183023
0.49,571734.1094335666,1032000.0000000164,516000.0000000082,44503.03059498253,189358.4216977995,1885872.657140809
0.495,568984.6265520153,1008800.0000000003,504400.0000000002,-43125.1495737131,188574.60971459982,1936735.166411129
0.5,516983.2444106176,1035200.0000000006,517600.0000000003,38157.23033724642,187641.9531261521,1843984.0609472198
0.505,565941.1952654924,1006399.9999999827,503199.9999999913,169849.5342780369,186648.59269666276,1719043.0682907668
0.51,582323.0318112009,1038400.0000000005,519200.00000000023,53459.221560037964,185692.99874404064,1900770.811507123
0.515,592938.3065249996,1015999.9999999792,507999.9999999896,-49907.95391997013,184857.76392654952,1981988.4965183889
0.52,575800.2836160162,1036000.0000000005,518000.00000000023,3036.601385538946,184247.9357032182,1942515.7465272597
0.525,592404.2266821691,1011999.9999999738,505999.9999999869,-65114.032056150565,183942.24934073305,1991576.0093975475
0.53,541717.6879876475,1045600.0000000006,522800.0000000003,26618.05282365167,183924.02011248504,1899575.6150515114
0.535,459587.7511780911,1019199.9999999757,509599.99999998783,196592.19726571377,184246.62240222743,1607548.9315101134
0.54,507145.403179206,1037600.0000000006,518800.0000000003,63091.8038054944,184867.68795917532,1815585.911414537
0.545,571030.6028812646,1018399.9999999721,509199.99999998603,-32068.196024971225,185765.9803394369,1944932.818566757
0.55,573714.7104742515,1047200.0000000003,523600.0000000002,19917.271946309458,186748.10584591783,1937849.332682025
0.555,578830.5437666118,1024799.9999999773,512399.99999998865,-54018.85572315801,187783.45212982356,1982265.947359912
0.56,561208.0468026709,1039200.0000000003,519600.0000000002,3831.604711962477,188777.60926784825,1927398.832822861
0.565,545173.3567640139,1027200.0000000006,513600.0000000003,139795.41183619585,189651.00022310793,1756526.944704711
0.57,569849.3015493625,1053599.9999999932,526799.9999999966,-67801.0854599815,190287.45407702622,2027762.9329323075
0.575,564679.5174856108,1028800.0000000006,514400.0000000003,-78233.88815071515,190699.65650327777,1995413.749133049
0.58,504563.68368132337,1044000.0000000093,522000.00000000466,129266.49383089962,190980.81254693092,1750316.3773035067
0.585,511833.4149421132,1030400.0000000005,515200.00000000023,34833.364685472035,191151.3751609059,1831448.675095736
0.59,616675.3279597085,1055199.9999999932,527599.9999999966,-10120.479886438256,191331.84735548278,2018263.9604906538
0.595,572485.8432295577,1036000.0000000005,518000.00000000023,-44573.92014765136,191708.342181325,1979351.421195885
0.6,530302.5356560969,1046400.0000000041,523200.00000000204,-189313.1337384721,192411.85738597668,2096803.8120085986
0.605,580083.1663739533,1036800.0000000006,518400.0000000003,17375.295696931415,193602.2893355893,1924305.5813414336
0.61,493095.64316124533,1062399.9999999916,531199.9999999958,191310.28696589114,195341.74262649362,1700043.613568848
0.615,496543.89923525666,1040000.0000000005,520000.00000000023,37927.93667926597,197671.69775577346,1820944.264800218
0.62,628601.457301432,1050399.9999999898,525199.9999999949,-52087.9268875862,200537.13859818233,2055752.2455908204
0.625,646013.3841192084,1043200.0000000006,521600.0000000003,-171626.06725336218,203767.79687469464,2178671.6544978768
0.63,591553.15799469,1066399.9999999844,533199.9999999922,-163097.5852762224,207003.83167088818,2147246.9116000007
0.635,511338.66319072415,1047200.0000000003,523600.0000000002,101960.89474249813,209934.27015122186,1770243.4982970047
0.64,488225.2803506767,1052799.9999999988,526399.9999999994,36562.504512330604,212033.23772944,1818829.5381089044
0.645,587923.4300449974,1048800.0000000005,524400.0000000002,-184544.8733505173,212857.76729663296,2132810.5360988826
0.65,602551.6668675595,1071199.999999981,535599.9999999905,-11178.653059669161,211871.55530765813,2008658.764619542
0.655,559520.7203591324,1052000.0000000005,526000.0000000002,101250.5789177302,208725.11212231824,1827545.0293190847
0.66,690837.4202930483,1057599.9999999916,528799.9999999958,-386527.08853358834,203175.52110274174,2460588.9877238823
0.665,761275.516058326,1050400.0000000005,525200.0000000002,-558983.7649217476,195211.56899398117,2700647.711986093
0.67,667605.7544045838,1072799.999999981,536399.9999999905,-222804.0507797631,184970.7081825387,2314639.09700178
0.675,696376.3004894995,1055200.0000000005,527600.0000000002,-30784.11127453872,173125.23403432663,2136835.177729712
0.68,605013.9178045621,1060799.9999999884,530399.9999999942,154002.1238135966,160467.237283194,1881744.556707754
0.685,502433.51319783466,1052800.0000000007,526400.0000000003,218848.810013864,148141.8646237635,1714642.8385602082
0.69,485368.67760927463,1076800.0000000007,538400.0000000003,232464.0886993936,137500.21442602828,1730604.3744838536
0.695,590390.4222262456,1058399.999999974,529199.999999987,-209607.62018645025,130086.78838274728,2257511.2540299096
0.7,666515.7109784406,1065600.0000000005,532800.0000000002,-201308.55468643847,127450.5003165972,2338773.7653482826
0.705,560045.7709957962,1056799.999999981,528399.9999999905,230576.40704803693,131024.7671690631,1783644.5967786675
0.71,533866.6006957996,1080800.0000000005,540400.0000000002,150782.88948340045,141977.06675581032,1862306.6444565896
0.715,507416.95574282727,1063999.999999972,531999.999999986,232192.12450525144,161173.401472361,1710051.429765173
0.72,535201.3036445575,1067200.0000000007,533600.0000000003,151057.0057998505,188973.67786737194,1795970.619977336
0.725,607739.0931339292,1064799.999999974,532399.999999987,95316.29424390044,225026.27607157224,1884596.5228184173
0.73,552045.5140952588,1084800.0000000007,542400.0000000003,70265.94231807829,268477.9135267591,1840501.6582504227
0.735,473986.18664742203,1064799.999999981,532399.9999999905,126153.5361655165,317834.1049104881,1627198.5455713887
0.74,561768.9629397859,1072800.0000000005,536400.0000000002,226558.31111759023,370939.1474867678,1573471.5043354286
0.745,606123.6488380895,1074399.9999999579,537199.9999999789,48179.22638493904,425199.7912539293,1744344.6311991578
0.75,754989.0495882521,1087200.0000000005,543600.0000000002,-464394.8701520434,477759.84374010586,2372424.0760001903
0.755,1002186.8864667683,1067999.9999999844,533999.9999999922,-1025118.4885659984,525539.1045232442,3103766.2705094987
0.76,946877.3625947465,1080800.0000000005,540400.0000000002,-1054527.037005568,565614.0654648403,3056990.3341354746
0.765,1103926.1865395536,1091199.9999999313,545599.9999999657,-1211358.252085991,595276.0069398097,3356808.431685632
0.77,4815073.666898066,1090400.0000000005,545200.0000000002,-2202371.178077921,612299.7274404052,8040745.117535582
0.78,-1669256.2033532462,9.313225746154785e-10,4.656612873077393e-10,-2601859.516256057,603319.5758849785,329283.7370178336
