data,t,greenwald_density,greenwald_fraction
1.3241445260243225e+19,0.205,6.797108351557637e+19,0.19480997764599106
1.336949731157823e+19,0.21,6.691915333084161e+19,0.19978581087959635
1.3419671043321864e+19,0.215,6.655942076733142e+19,0.20161940847160262
1.3662888951796486e+19,0.22,6.589832768545013e+19,0.20733286308892407
1.4028797000241678e+19,0.225,6.51768053914548e+19,0.215242169602884
1.4059889599939383e+19,0.23,6.442260653706736e+19,0.21824465596327014
1.4465203660256995e+19,0.235,6.389452260730347e+19,0.22639192015190907
1.4643653046196902e+19,0.24,6.369935691724416e+19,0.22988698402750585
1.4703758275634199e+19,0.245,6.345781142831342e+19,0.2317091930005282
1.512153504787127e+19,0.25,6.276503168780427e+19,0.24092292541309274
1.5180980552494205e+19,0.255,6.226550882780586e+19,0.24381043114056825
1.5277900143828361e+19,0.26,6.224124768589134e+19,0.2454626266640781
1.5597334056278196e+19,0.265,6.193242785272389e+19,0.2518443826127543
1.560114188646372e+19,0.27,6.134858332968504e+19,0.25430321353345287
1.576487947337398e+19,0.275,6.077275367591213e+19,0.2594070289696704
1.596232248901867e+19,0.28,5.986595378834587e+19,0.2666343969972138
1.6167802601275025e+19,0.285,5.965360252226325e+19,0.2710281008634987
1.6207428128767037e+19,0.29,5.9480329023367184e+19,0.27248383448584923
1.6317621187754422e+19,0.295,5.880072451735234e+19,0.27750714505123186
1.6343774713688424e+19,0.3,5.836867327517061e+19,0.28000935770182883
1.6044216614930487e+19,0.305,5.80671843255729e+19,0.27630436710988554
1.5902877368472519e+19,0.31,5.7466515433095954e+19,0.2767329330588536
1.5960885329578187e+19,0.315,5.728188345901551e+19,0.27863757903487946
1.5804987464999105e+19,0.32,5.708211615078404e+19,0.2768815967377555
1.574618161842644e+19,0.325,5.657452898331513e+19,0.2783263405174841
1.6025288922231517e+19,0.33,5.61689494942086e+19,0.2853051208280802
1.6229057043363715e+19,0.335,5.6134575837539254e+19,0.2891098187030523
1.618150286981711e+19,0.34,5.6193519546078085e+19,0.2879603021937156
1.6364598295788964e+19,0.345,5.6527934965648695e+19,0.28949577418197786
1.6243398216034238e+19,0.35,5.624927423813868e+19,0.2887752497439466
1.6099627083196082e+19,0.355,5.62494167929882e+19,0.28621856013986247
1.620747163705344e+19,0.36,5.692652678952589e+19,0.28470859810185206
1.6205491423665617e+19,0.365,5.6996228137731604e+19,0.2843256817715198
1.5954216081218927e+19,0.37,5.715364757868456e+19,0.2791460695357097
1.6538844738846384e+19,0.375,5.748769695200538e+19,0.2876936390868838
1.6609854034073338e+19,0.38,5.769733423575896e+19,0.2878790546232738
1.6482176329505733e+19,0.385,5.765678322872364e+19,0.28586708113980575
1.6563608658799362e+19,0.39,5.751311870942577e+19,0.28799705233311873
1.660555796728021e+19,0.395,5.73832060572681e+19,0.289380101047473
1.6673037339553198e+19,0.4,5.856484989437324e+19,0.28469358957846663
1.6700933961138653e+19,0.405,5.880195009818034e+19,0.28402006962785187
1.6758361224676022e+19,0.41,5.8748421783925055e+19,0.2852563646103171
1.7094735320117305e+19,0.415,5.859592815518632e+19,0.29173930439062856
