t,pohm,pss,psw,pdw_dt,prad_core,psol
0.61,649955.2677874612,0.0,0.0,6108.1548099129495,223402.0477623423,420445.06521520595
0.615,647947.1606555048,0.0,0.0,-6523.112867979206,223021.11061599012,431449.1629074939
0.62,621517.5054447539,0.0,0.0,54829.5900003093,222772.31234658786,343915.60309785674
0.625,617670.1534051766,0.0,0.0,54651.96566139381,222825.34375022363,340192.84399355913
0.63,618741.9730815149,0.0,0.0,11986.531557704797,223301.48509535176,383453.9564284584
0.635,618244.0470194593,0.0,0.0,-20175.052306928403,224411.42324269976,414007.6760836879
0.64,650481.1481984009,0.0,0.0,-66730.99705331292,226156.0850014898,491056.06025022396
0.645,648712.073870403,1.3615775174002467e-10,6.807887587001234e-11,59854.8928591506,228712.0605966927,360145.12041455985
0.65,622446.485160789,1226399.9999999597,613199.9999999799,17249.289583355123,232111.83283298626,2212685.3627443872
0.655,642555.7322731958,1100000.0000000005,550000.0000000002,-14021.452413773986,236363.96149284794,2070213.2231941225
0.66,637529.265167013,1088799.999999997,544399.9999999985,228575.52302566174,241411.6429728697,1800742.099168477
0.665,515199.03045646014,1024800.0000000003,512400.0000000002,471404.3680165179,247230.28490907358,1333764.3775308693
0.67,419610.4397086308,1022400.0000000022,511200.0000000011,534220.9771615069,253702.39922053055,1165287.0633265967
0.675,445767.11298168515,1007200.0000000003,503600.0000000002,450130.62737870077,260732.35823574234,1245704.1273672425
0.68,447329.2595493582,991200.0000000023,495600.00000000116,265819.1881382444,268142.61433301587,1400167.4570781016
0.685,417591.08008040476,980800.0000000005,490400.00000000023,244282.10085582585,275793.9648521017,1368715.0143724778
0.69,473726.58492821647,983200.0000000006,491600.0000000003,282461.0816854588,283569.0974612636,1382496.405781495
0.695,465261.25901036564,983999.9999999951,491999.99999999756,120262.64641028646,291231.4157814363,1529767.1968186356
0.7,401434.57599112525,972000.0000000006,486000.0000000003,184820.78835122255,298673.54901296203,1375940.2386269416
0.705,477658.81142898113,963199.9999999987,481599.99999999936,121415.82744873772,305744.1800700233,1495298.8039102182
